Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
1,334,2,-2,-1,2,3,2,1,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2
1,335,-2,-1,2,3,2,1,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2
1,336,-1,2,3,2,1,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2
1,337,2,3,2,1,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2
1,338,3,2,1,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2
1,339,2,1,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1
1,340,1,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0
1,341,-2,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0
1,342,-1,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2
1,343,2,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2
1,344,2,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3
1,345,3,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1
1,346,-3,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2
1,347,1,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1
1,348,-2,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2
1,349,-2,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2
1,350,-3,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1
1,351,2,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2
1,352,0,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0
1,353,-1,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0
1,354,-2,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2
1,355,-2,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2
1,356,-2,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1
1,357,-2,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1
1,358,-2,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2
1,359,-1,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3
1,360,0,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2
1,361,0,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2
1,362,2,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0
1,363,2,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2
1,364,3,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3
1,365,1,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0
1,366,2,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1
1,367,-1,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1
1,368,-2,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1
1,369,-2,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2
1,370,-1,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0
1,371,2,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1
1,372,0,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1
1,373,0,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2
1,374,-2,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1
1,375,-2,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2
1,376,-1,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1
1,377,1,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0
1,378,-2,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2
1,379,-3,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3
1,380,2,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2
1,381,2,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2
1,382,0,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1
1,383,-2,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2
1,384,-3,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3
1,385,0,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1
1,386,1,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2
1,387,1,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0
1,388,1,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1
1,389,2,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1
1,390,0,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1
1,391,1,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1
1,392,-1,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1
1,393,-2,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1
1,394,-1,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2
1,395,-2,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2
1,396,-1,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2
1,397,0,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2
1,398,2,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2
1,399,3,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1
1,400,-2,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2
1,401,-2,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3
1,402,1,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2
1,403,2,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2
1,404,3,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2
1,405,-1,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2
1,406,2,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1
1,407,0,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2
1,408,1,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2
1,409,1,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3
1,410,-1,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2
1,411,-1,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0
1,412,-1,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1
1,413,1,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2
1,414,2,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2
1,415,-2,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2
1,416,-2,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2
1,417,-2,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3
1,418,-2,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1
1,419,-1,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2
1,420,2,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2
1,421,3,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3
1,422,2,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1
1,423,2,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0
1,424,2,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0
1,425,-2,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2
1,426,1,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1
1,427,-2,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2
1,428,-2,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3
1,429,-3,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2
1,430,2,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2
1,431,0,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3
1,432,1,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1
1,433,-2,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2
1,434,-2,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2
1,435,-2,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2
1,436,-2,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3
1,437,-3,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1
1,438,1,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2
1,439,-2,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2
1,440,-2,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3
1,441,-3,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2
1,442,1,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2
1,443,0,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2
1,444,0,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2
1,445,-2,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1
1,446,-1,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2
1,447,-2,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1
1,448,-3,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1
1,449,-2,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2
1,450,-2,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2
1,451,3,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3
1,452,1,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2
1,453,2,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2
1,454,-2,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2
1,455,-2,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3
1,456,-3,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2
1,457,1,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3
1,458,-2,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1
1,459,2,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2
1,460,3,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1
1,461,2,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2
1,462,2,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1
1,463,2,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2
1,464,2,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2
1,465,1,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0
1,466,-2,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2
1,467,1,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2
1,468,-1,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2
1,469,2,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2
1,470,2,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2
1,471,3,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2
1,472,-2,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3
1,473,2,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1
1,474,2,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2
1,475,3,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1
1,476,-2,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2
1,477,-3,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2
1,478,-1,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2
1,479,2,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2
1,480,1,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1
1,481,2,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2
1,482,-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2
1,483,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2
1,484,-2,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1
1,485,0,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1
1,486,-2,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2
1,487,-2,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2
1,488,-2,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2
1,489,-2,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2
1,490,-2,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1
1,491,-2,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2
1,492,-3,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2
1,493,-1,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2,3
1,494,-2,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2,3,-2
1,495,-1,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2,3,-2,-2
1,496,2,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2,3,-2,-2,-1
1,497,2,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2,3,-2,-2,-1,-2
1,498,2,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2,3,-2,-2,-1,-2,-3
1,499,2,1,-2,2,-2,1,-1,-2,-2,-2,-2,1,2,2,3,-2,-2,-1,-2,-3,1
