,Date,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,C1_School closing (0),C1_School closing (1),C1_School closing (2),C1_School closing (3),C2_Workplace closing (0),C2_Workplace closing (1),C2_Workplace closing (2),C2_Workplace closing (3),C3_Cancel public events (0),C3_Cancel public events (1),C3_Cancel public events (2),C4_Restrictions on gatherings (0),C4_Restrictions on gatherings (1),C4_Restrictions on gatherings (2),C4_Restrictions on gatherings (3),C4_Restrictions on gatherings (4),C5_Close public transport (0),C5_Close public transport (1),C5_Close public transport (2),C6_Stay at home requirements (0),C6_Stay at home requirements (1),C6_Stay at home requirements (2),C6_Stay at home requirements (3),C7_Restrictions on internal movement (0),C7_Restrictions on internal movement (1),C7_Restrictions on internal movement (2),C8_International travel controls (0),C8_International travel controls (1),C8_International travel controls (2),C8_International travel controls (3),C8_International travel controls (4),E1_Income support (0),E1_Income support (1),E1_Income support (2),E2_Debt/contract relief (0),E2_Debt/contract relief (1),E2_Debt/contract relief (2),H1_Public information campaigns (0),H1_Public information campaigns (1),H1_Public information campaigns (2),H2_Testing policy (0),H2_Testing policy (1),H2_Testing policy (2),H2_Testing policy (3),H3_Contact tracing (0),H3_Contact tracing (1),H3_Contact tracing (2),H7_Vaccination policy (0),H7_Vaccination policy (1),H7_Vaccination policy (2),H7_Vaccination policy (3),H7_Vaccination policy (4),H7_Vaccination policy (5)
1,02/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,04/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,05/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,06/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,07/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,08/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
8,09/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
9,10/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
10,11/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
11,12/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
12,13/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
13,14/01/2020,0,0,0,0,0,0,0,2.78,2.78,1.67,1.92,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
14,15/01/2020,0,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
15,16/01/2020,0,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
16,17/01/2020,0,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
17,18/01/2020,0,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
18,19/01/2020,0,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
19,20/01/2020,0,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0
20,21/01/2020,0,0,0,0,0,0,0,2.78,2.78,7.22,8.33,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0
21,22/01/2020,0,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0
22,23/01/2020,0,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0
23,24/01/2020,0,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0
24,25/01/2020,0,0,0,0,0,2,0,2.78,2.78,7.22,8.33,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0
25,26/01/2020,0,0,0,0,0,4,0,2.78,2.78,7.22,8.33,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,3,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0
26,27/01/2020,0,0,0,0,0,4,0,2.78,2.78,7.22,8.33,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,3,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0
27,28/01/2020,0,0,0,0,0,7,0,2.78,2.78,7.22,8.33,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,3,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0
28,29/01/2020,0,0,0,0,0,7,0,2.78,2.78,7.22,8.33,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,3,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0
29,30/01/2020,0,0,0,0,0,11,0,2.78,2.78,7.22,8.33,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,3,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0
30,31/01/2020,0,0,0,0,0,15,0,2.78,2.78,7.22,8.33,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0
31,01/02/2020,0,0,0,0,0,20,0,8.33,8.33,10.56,12.18,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0
32,02/02/2020,0,0,0,0,0,20,0,8.33,8.33,10.56,12.18,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,0,5,0,0,5,0,0,5,0,0,5,3,0,0,5,3,0,5,0,0,0,0,0
33,03/02/2020,0,0,0,0,0,20,0,8.33,8.33,10.56,12.18,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,0,5,0,0,5,0,0,5,0,0,5,3,0,0,5,3,0,5,0,0,0,0,0
34,04/02/2020,0,0,0,0,0,22,0,19.44,19.44,17.22,19.87,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,0,5,0,0,5,0,0,5,0,0,5,3,0,0,5,3,0,5,0,0,0,0,0
35,05/02/2020,0,0,0,0,0,23,0,19.44,19.44,17.22,19.87,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,0,5,0,0,5,0,0,5,0,0,5,3,0,0,5,3,0,5,0,0,0,0,0
36,06/02/2020,0,0,0,0,0,23,0,19.44,19.44,17.22,19.87,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,5,0,0,5,0,0,5,3,0,0,5,3,0,5,0,0,0,0,0
37,07/02/2020,0,0,0,0,0,23,0,19.44,19.44,17.22,19.87,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,3,0,0,0,6,0,0,6,0,0,6,0,0,6,3,0,0,6,3,0,6,0,0,0,0,0
38,08/02/2020,0,0,0,0,0,24,0,19.44,19.44,17.22,19.87,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,3,0,0,0,6,0,0,6,0,0,6,0,0,6,3,0,0,6,3,0,6,0,0,0,0,0
39,09/02/2020,0,0,0,0,0,24,0,19.44,19.44,17.22,19.87,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,3,0,0,0,6,0,0,6,0,0,6,0,0,6,3,0,0,6,3,0,6,0,0,0,0,0
40,10/02/2020,0,0,0,0,0,26,0,19.44,19.44,17.22,19.87,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,3,0,0,0,6,0,0,6,0,0,6,0,0,6,3,0,0,6,3,0,6,0,0,0,0,0
41,11/02/2020,0,0,0,0,0,27,0,19.44,19.44,17.22,19.87,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,3,0,0,0,6,0,0,6,0,0,6,0,0,6,3,0,0,6,3,0,6,0,0,0,0,0
42,12/02/2020,0,0,0,0,0,28,0,19.44,19.44,17.22,19.87,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,0,0,6,0,0,6,0,0,6,3,0,0,6,3,0,6,0,0,0,0,0
43,13/02/2020,81949436,0,60530834,0,0,33,1,19.44,19.44,17.22,19.87,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,6,0,0,0,7,0,0,7,0,0,7,0,0,7,3,0,0,7,3,0,7,0,0,0,0,0
44,14/02/2020,0,0,0,0,0,43,1,19.44,19.44,17.22,19.87,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,6,0,0,0,7,0,0,7,0,0,7,0,0,7,3,0,0,7,3,0,7,0,0,0,0,0
45,15/02/2020,0,0,0,0,0,54,1,19.44,19.44,17.22,19.87,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,6,0,0,0,7,0,0,7,0,0,7,0,0,7,3,0,0,7,3,0,7,0,0,0,0,0
46,16/02/2020,0,0,0,0,0,60,1,19.44,19.44,17.22,19.87,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,6,0,0,0,7,0,0,7,0,0,7,0,0,7,3,0,0,7,3,0,7,0,0,0,0,0
47,17/02/2020,0,0,0,0,0,67,1,19.44,19.44,17.22,19.87,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,6,0,0,0,7,0,0,7,0,0,7,0,0,7,3,0,0,7,3,0,7,0,0,0,0,0
48,18/02/2020,0,0,0,0,0,79,2,19.44,19.44,17.22,19.87,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,7,0,0,7,0,0,7,3,0,0,7,3,0,7,0,0,0,0,0
49,19/02/2020,0,0,0,0,0,85,2,19.44,19.44,17.22,19.87,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,0,0,8,6,3,3,0,8,0,0,8,0,0,8,0,0,8,3,0,0,8,3,0,8,0,0,0,0,0
50,20/02/2020,0,0,0,0,0,95,2,25,25,20.56,23.72,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,0,0,8,6,3,3,0,8,0,0,8,0,0,8,0,0,8,6,0,0,8,6,0,8,0,0,0,0,0
51,21/02/2020,0,0,0,0,0,112,2,25,25,20.56,23.72,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,0,0,8,6,3,3,0,8,0,0,8,0,0,8,0,0,8,6,0,0,8,6,0,8,0,0,0,0,0
52,22/02/2020,0,0,0,0,0,137,2,25,25,20.56,23.72,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,0,0,8,6,3,3,0,8,0,0,8,0,0,8,3,3,8,6,0,0,8,6,0,8,0,0,0,0,0
53,23/02/2020,0,0,0,0,0,149,2,25,25,20.56,23.72,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,0,0,8,6,3,3,0,8,0,0,8,0,0,8,3,3,8,6,0,0,8,6,0,8,0,0,0,0,0
54,24/02/2020,0,0,0,0,0,160,2,25,25,20.56,23.72,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0,8,0,0,8,8,3,3,0,8,0,0,8,0,0,8,3,3,8,6,0,0,8,6,0,8,0,0,0,0,0
55,25/02/2020,0,0,0,0,0,173,3,34.26,34.26,26.11,30.13,0,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,6,3,3,0,9,0,0,9,0,0,9,3,3,9,6,0,0,9,6,0,9,0,0,0,0,0
56,26/02/2020,0,0,0,0,0,192,3,34.26,34.26,26.11,30.13,0,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,6,3,3,0,9,0,0,9,0,0,9,3,3,9,6,0,0,9,6,0,9,0,0,0,0,0
57,27/02/2020,0,0,0,0,0,218,4,34.26,34.26,26.11,30.13,0,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,6,3,3,0,9,0,0,9,0,0,9,3,3,9,6,0,0,9,6,0,9,0,0,0,0,0
58,28/02/2020,0,0,0,0,0,236,5,34.26,34.26,26.11,30.13,0,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,6,3,3,0,9,0,0,9,0,0,9,3,3,9,6,0,0,9,6,0,9,0,0,0,0,0
59,29/02/2020,0,0,0,0,0,245,6,34.26,34.26,26.11,30.13,0,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,6,3,3,0,9,0,0,9,0,0,9,3,3,9,6,0,0,9,6,0,9,0,0,0,0,0
60,01/03/2020,0,0,0,0,1,259,6,34.26,34.26,27.78,32.05,0,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,9,3,3,0,9,0,0,9,0,0,9,3,3,9,6,0,0,9,6,0,9,0,0,0,0,0
61,02/03/2020,0,0,0,0,1,278,6,43.52,43.52,33.33,38.46,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,0,0,10,9,3,3,0,10,0,0,10,0,0,10,3,3,10,6,0,0,10,6,0,10,0,0,0,0,0
62,03/03/2020,0,0,0,0,1,298,6,43.52,43.52,33.33,38.46,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,0,0,10,9,3,3,0,10,0,0,10,0,0,10,3,3,10,6,0,0,10,6,0,10,0,0,0,0,0
63,04/03/2020,0,0,0,0,1,333,7,43.52,43.52,33.33,38.46,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,0,0,10,9,3,3,0,10,0,0,10,0,0,10,3,3,10,6,0,0,10,6,0,10,0,0,0,0,0
64,05/03/2020,0,0,0,0,1,365,7,43.52,43.52,33.33,38.46,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,0,0,10,9,3,3,0,10,0,0,10,0,0,10,3,3,10,6,0,0,10,6,0,10,0,0,0,0,0
65,06/03/2020,0,0,0,0,1,420,7,43.52,43.52,33.33,38.46,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,0,0,10,9,3,3,0,10,0,0,10,0,0,10,3,3,10,6,0,0,10,6,0,10,0,0,0,0,0
66,07/03/2020,0,0,0,0,1,466,7,43.52,43.52,33.33,38.46,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,0,0,10,10,3,3,0,10,0,0,10,0,0,10,3,3,10,6,0,0,10,6,0,10,0,0,0,0,0
67,08/03/2020,0,0,0,0,1,499,8,43.52,43.52,33.33,38.46,0,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,11,0,0,11,0,0,0,11,0,0,11,9,6,6,0,11,0,0,11,0,0,11,3,3,11,6,0,0,11,6,0,11,0,0,0,0,0
68,09/03/2020,0,0,0,0,1,527,10,40.74,40.74,31.67,36.54,0,11,0,0,0,11,0,0,0,11,3,0,11,0,0,0,0,11,0,0,11,0,0,0,11,0,0,11,9,6,0,0,11,0,0,11,0,0,11,3,3,11,9,0,0,11,9,0,11,0,0,0,0,0
69,10/03/2020,3685314415,0,468619258,0,1,585,13,40.74,40.74,31.67,36.54,0,11,0,0,0,11,0,0,0,11,3,0,11,0,0,0,0,11,0,0,11,0,0,0,11,0,0,11,9,6,0,0,11,0,0,11,0,0,11,3,3,11,9,0,0,11,9,0,11,0,0,0,0,0
70,11/03/2020,0,0,0,0,1,640,15,40.74,40.74,31.67,36.54,0,11,0,0,0,11,0,0,0,11,3,0,11,0,0,0,0,11,0,0,11,0,0,0,11,0,0,11,9,6,0,0,11,0,0,11,0,0,11,6,6,11,9,0,0,11,9,0,11,0,0,0,0,0
71,12/03/2020,0,0,0,0,1,696,19,40.74,40.74,31.67,36.54,0,11,0,0,0,11,0,0,0,11,3,0,11,0,0,0,0,11,0,0,11,0,0,0,11,0,0,11,9,6,0,0,11,0,0,11,0,0,11,6,6,11,9,0,0,11,9,0,11,0,0,0,0,0
72,13/03/2020,0,0,0,0,1,733,21,40.74,40.74,31.67,36.54,0,11,0,0,0,11,0,0,0,11,3,0,11,0,0,0,0,11,0,0,11,0,0,0,11,0,0,11,11,6,0,0,11,0,0,11,0,0,11,6,6,11,9,0,0,11,9,0,11,0,0,0,0,0
73,14/03/2020,0,0,0,0,1,795,22,40.74,40.74,31.67,36.54,0,12,0,0,0,12,3,0,0,12,3,0,12,0,0,0,0,12,0,0,12,0,0,0,12,3,0,12,9,6,0,0,12,0,0,12,0,0,12,6,6,12,9,0,0,12,9,0,12,0,0,0,0,0
74,15/03/2020,0,0,0,0,1,826,24,40.74,40.74,31.67,36.54,0,12,0,0,0,12,3,0,0,12,3,0,12,0,0,0,0,12,0,0,12,0,0,0,12,3,0,12,9,6,0,0,12,0,0,12,0,0,12,6,6,12,9,0,0,12,9,0,12,0,0,0,0,0
75,16/03/2020,0,0,0,0,1,843,30,40.74,40.74,38.33,36.54,50,12,0,0,0,12,3,0,0,12,3,0,12,0,0,0,0,12,0,0,12,0,0,0,12,3,0,12,9,6,0,0,12,0,0,12,0,0,12,6,6,12,9,0,0,12,9,0,12,0,0,0,0,0
76,17/03/2020,0,0,0,0,1,893,30,40.74,40.74,38.33,36.54,50,12,0,0,0,12,3,0,0,12,3,0,12,0,0,0,0,12,0,0,12,0,0,0,12,3,0,12,9,6,0,0,12,0,0,12,0,0,12,6,6,12,9,0,0,12,9,0,12,0,0,0,0,0
77,18/03/2020,0,0,0,0,1,928,32,40.74,40.74,38.33,36.54,50,12,0,0,0,12,3,0,0,12,3,0,12,0,0,0,0,12,0,0,12,0,0,0,12,3,0,12,9,6,0,0,12,0,0,12,0,0,12,6,6,12,9,0,0,12,9,0,12,0,0,0,0,0
78,19/03/2020,0,0,0,0,1,968,33,40.74,40.74,38.33,36.54,50,12,0,0,0,12,3,0,0,12,3,0,12,0,0,0,0,12,0,0,12,0,0,0,12,3,0,12,12,6,0,0,12,0,0,12,0,0,12,6,6,12,9,0,0,12,9,0,12,0,0,0,0,0
79,20/03/2020,0,0,0,0,1,1022,34,40.74,40.74,38.33,36.54,50,13,3,3,3,13,3,0,0,13,3,0,13,0,0,0,0,13,0,0,13,0,0,0,13,3,0,13,12,6,0,0,13,0,0,13,0,0,13,6,6,13,9,0,0,13,9,0,13,0,0,0,0,0
80,21/03/2020,0,0,0,0,1,1059,36,40.74,40.74,38.33,36.54,50,13,3,3,3,13,3,0,0,13,3,0,13,0,0,0,0,13,0,0,13,0,0,0,13,3,0,13,12,6,0,0,13,0,0,13,0,0,13,6,6,13,9,0,0,13,9,0,13,0,0,0,0,0
81,22/03/2020,0,0,0,0,1,1104,40,40.74,40.74,38.33,36.54,50,13,3,3,3,13,3,0,0,13,3,0,13,0,0,0,0,13,0,0,13,0,0,0,13,3,0,13,12,6,0,0,13,0,0,13,0,0,13,6,6,13,9,0,0,13,9,0,13,0,0,0,0,0
82,23/03/2020,0,0,0,0,1,1144,41,40.74,40.74,38.33,36.54,50,13,3,3,3,13,3,0,0,13,3,0,13,0,0,0,0,13,0,0,13,0,0,0,13,3,0,13,12,6,0,0,13,0,0,13,0,0,13,6,6,13,9,0,0,13,9,0,13,0,0,0,0,0
83,24/03/2020,0,0,0,0,1,1217,42,40.74,40.74,38.33,36.54,50,13,3,3,3,13,3,0,0,13,3,0,13,0,0,0,0,13,0,0,13,0,0,0,13,3,0,13,12,6,0,0,13,0,0,13,0,0,13,6,6,13,9,0,0,13,9,0,13,0,0,0,0,0
84,25/03/2020,0,0,0,0,1,1314,45,40.74,40.74,38.33,36.54,50,13,3,3,3,13,3,0,0,13,3,0,13,0,0,0,0,13,0,0,13,0,0,0,13,3,0,13,13,6,0,0,13,0,0,13,0,0,13,6,6,13,9,0,0,13,9,0,13,0,0,0,0,0
85,26/03/2020,0,0,0,0,1,1416,47,40.74,40.74,38.33,36.54,50,14,3,3,3,14,3,0,0,14,3,0,14,0,0,0,0,14,0,0,14,0,0,0,14,3,0,14,12,9,0,0,14,0,0,14,0,0,14,6,6,14,9,0,0,14,9,0,14,0,0,0,0,0
