# Weather station St. Athan (airport), UK, WMO_ID=3716,selection from 18.01.2021 till 29.01.2021, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3716&lang=en
#
"Local time in St. Athan (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.01.2021 23:00";"9.4";"743.5";"748.0";"-0.6";"99";"Wind blowing from the west";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"4.0";"9.2";"";"";"";"";"";"";
"28.01.2021 22:00";"9.6";"743.4";"747.8";"-1.3";"99";"Wind blowing from the west";"8";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"3.5";"9.5";"";"";"";"";"";"";
"28.01.2021 21:00";"10.0";"743.4";"747.8";"-1.9";"99";"Wind blowing from the west";"8";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"9.8";"";"";"";"";"";"";
"28.01.2021 20:00";"9.9";"744.1";"748.5";"-2.1";"99";"Wind blowing from the west-southwest";"3";"";"";"";"Rain, not freezing, heavy. ";"";"";"";"";"";"";"100-200";"";"";"2.0";"9.8";"";"";"";"";"";"";
"28.01.2021 19:00";"10.0";"744.7";"749.2";"-2.4";"97";"Wind blowing from the south-west";"4";"";"";"";"Rain shower(s) or intermittent rain, violent. ";"";"";"";"";"";"";"100-200";"";"";"0.8";"9.6";"";"";"";"";"";"";
"28.01.2021 18:00";"10.0";"745.3";"749.8";"-2.1";"98";"Wind blowing from the west-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"10.6";"";"";"200-300";"";"";"16.0";"9.7";"0.4";"12";"";"";"";"";
"28.01.2021 17:00";"10.0";"746.2";"750.6";"-1.8";"98";"Wind blowing from the west-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"12.0";"9.7";"";"";"";"";"";"";
"28.01.2021 16:00";"10.0";"747.1";"751.5";"-1.2";"97";"Wind blowing from the west";"7";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"7.0";"9.5";"";"";"";"";"";"";
"28.01.2021 15:00";"10.2";"747.4";"751.9";"-1.1";"96";"Wind blowing from the west";"8";"";"";"";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"8.0";"9.6";"";"";"";"";"";"";
"28.01.2021 14:00";"10.1";"748.0";"752.4";"-0.8";"99";"Wind blowing from the west";"9";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"50-100";"";"";"4.8";"10.0";"";"";"";"";"";"";
"28.01.2021 13:00";"9.5";"748.3";"752.7";"0.5";"100";"Wind blowing from the west";"8";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"Less than  50";"";"";"0.7";"9.5";"";"";"";"";"";"";
"28.01.2021 12:00";"9.6";"748.5";"753.0";"1.5";"99";"Wind blowing from the west";"6";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"9.4";"0.2";"6";"";"";"";"";
"28.01.2021 11:00";"9.8";"748.8";"753.2";"1.7";"98";"Wind blowing from the west";"9";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"3.8";"9.5";"";"";"";"";"";"";
"28.01.2021 10:00";"10.0";"747.8";"752.2";"0.9";"97";"Wind blowing from the west";"7";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.9";"9.5";"";"";"";"";"";"";
"28.01.2021 09:00";"10.0";"747.0";"751.4";"0.1";"99";"Wind blowing from the west";"11";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"9.8";"";"";"";"";"";"";
"28.01.2021 08:00";"9.6";"747.1";"751.5";"0.5";"100";"Wind blowing from the west";"9";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"50-100";"";"";"4.9";"9.6";"";"";"";"";"";"";
"28.01.2021 07:00";"9.8";"746.9";"751.3";"0.1";"100";"Wind blowing from the west";"9";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"50-100";"";"";"3.6";"9.8";"";"";"";"";"";"";
"28.01.2021 06:00";"9.8";"746.9";"751.3";"-0.4";"100";"Wind blowing from the west";"9";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"8.4";"";"";"";"Less than  50";"";"";"2.3";"9.8";"18.0";"12";"";"";"";"";
"28.01.2021 05:00";"9.9";"746.6";"751.0";"-1.3";"100";"Wind blowing from the west";"11";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"50-100";"";"";"2.7";"9.9";"";"";"";"";"";"";
"28.01.2021 04:00";"10.0";"746.8";"751.3";"-2.1";"100";"Wind blowing from the west";"10";"";"";"";"Drizzle and rain, moderate or heavy. ";"";"";"";"";"";"";"50-100";"";"";"0.3";"10.0";"";"";"";"";"";"";
"28.01.2021 03:00";"10.1";"747.3";"751.7";"-2.8";"100";"Wind blowing from the west";"9";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"50-100";"";"";"13.0";"10.1";"";"";"";"";"";"";
"28.01.2021 02:00";"10.0";"747.9";"752.3";"-2.5";"100";"Wind blowing from the west-southwest";"4";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"100-200";"";"";"1.4";"10.0";"";"";"";"";"";"";
"28.01.2021 01:00";"10.1";"748.9";"753.3";"-2.1";"100";"Wind blowing from the west-southwest";"5";"";"";"";"Rain, not freezing, heavy. ";"";"";"";"";"";"";"50-100";"";"";"2.5";"10.1";"";"";"";"";"";"";
"28.01.2021 00:00";"9.1";"743.8";"748.2";"-7.9";"96";"Wind blowing from the west";"7";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"8.5";"14.0";"6";"";"";"";"";
"27.01.2021 23:00";"8.4";"750.4";"754.9";"";"100";"Wind blowing from the south";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.1";"8.4";"";"";"";"";"";"";
"27.01.2021 22:00";"8.9";"751.0";"755.5";"";"100";"Wind blowing from the south-east";"2";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.8";"8.9";"";"";"";"";"";"";
"27.01.2021 21:00";"9.2";"751.7";"756.1";"-1.8";"100";"Wind blowing from the east-southeast";"3";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.7";"9.2";"";"";"";"";"";"";
"27.01.2021 20:00";"9.0";"752.2";"756.7";"-1.1";"100";"Wind blowing from the east";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"50-100";"";"";"0.5";"9.0";"";"";"";"";"";"";
"27.01.2021 19:00";"8.7";"752.8";"757.3";"-0.8";"100";"Wind blowing from the east";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"0.4";"8.7";"";"";"";"";"";"";
"27.01.2021 18:00";"9.3";"753.5";"758.0";"-0.5";"100";"Wind blowing from the south-west";"1";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"9.7";"";"";"300-600";"";"";"10.0";"9.3";"4.0";"12";"";"";"";"";
"27.01.2021 17:00";"9.6";"753.3";"757.7";"-0.9";"100";"Wind blowing from the north-west";"1";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"27.0";"9.6";"";"";"";"";"";"";
"27.01.2021 16:00";"9.7";"753.6";"758.1";"-1.0";"100";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"45.0";"9.7";"";"";"";"";"";"";
"27.01.2021 15:00";"9.7";"754.0";"758.4";"-1.0";"100";"Wind blowing from the west";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"3.4";"9.7";"";"";"";"";"";"";
"27.01.2021 14:00";"9.6";"754.2";"758.6";"-0.9";"100";"Wind blowing from the west";"5";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"50-100";"";"";"6.0";"9.6";"";"";"";"";"";"";
"27.01.2021 13:00";"9.6";"754.6";"759.1";"-0.2";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.9";"9.6";"";"";"";"";"";"";
"27.01.2021 12:00";"9.0";"755.0";"759.5";"0.4";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"Less than  50";"";"";"0.7";"9.0";"3.0";"6";"";"";"";"";
"27.01.2021 11:00";"8.9";"755.1";"759.6";"1.0";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.7";"8.9";"";"";"";"";"";"";
"27.01.2021 10:00";"8.8";"754.8";"759.2";"0.9";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.5";"8.8";"";"";"";"";"";"";
"27.01.2021 09:00";"8.6";"754.6";"759.1";"0.6";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.5";"8.6";"";"";"";"";"";"";
"27.01.2021 08:00";"8.4";"754.1";"758.6";"-0.1";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.8";"8.4";"";"";"";"";"";"";
"27.01.2021 07:00";"8.4";"753.9";"758.4";"0.0";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.4";"8.4";"";"";"";"";"";"";
"27.01.2021 06:00";"8.5";"754.0";"758.4";"-0.2";"100";"Wind blowing from the west";"4";"";"";"";"Rain, not freezing, slight. ";"";"";"6.9";"";"";"";"50-100";"";"";"0.3";"8.5";"4.0";"12";"";"";"";"";
"27.01.2021 05:00";"8.4";"754.2";"758.7";"-0.2";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.9";"8.4";"";"";"";"";"";"";
"27.01.2021 04:00";"8.2";"753.9";"758.4";"-0.3";"100";"Wind blowing from the west-southwest";"5";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"1.0";"8.2";"";"";"";"";"";"";
"27.01.2021 03:00";"8.2";"754.2";"758.7";"0.0";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.6";"8.2";"";"";"";"";"";"";
"27.01.2021 02:00";"8.1";"754.4";"758.9";"0.3";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"50-100";"";"";"1.2";"8.1";"";"";"";"";"";"";
"27.01.2021 01:00";"8.1";"754.2";"758.7";"0.4";"100";"Wind blowing from the west";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.8";"8.1";"";"";"";"";"";"";
"27.01.2021 00:00";"8.0";"754.2";"758.7";"0.8";"100";"Wind blowing from the west";"4";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"50-100";"";"";"0.6";"8.0";"1.0";"6";"";"";"";"";
"26.01.2021 23:00";"8.0";"754.1";"758.6";"";"100";"Wind blowing from the west";"4";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.8";"8.0";"";"";"";"";"";"";
"26.01.2021 22:00";"8.1";"753.8";"758.3";"";"100";"Wind blowing from the west";"5";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"0.8";"8.1";"";"";"";"";"";"";
"26.01.2021 21:00";"8.5";"753.4";"757.9";"";"99";"Wind blowing from the west";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"50-100";"";"";"1.3";"8.4";"";"";"";"";"";"";
"26.01.2021 20:00";"8.3";"753.1";"757.6";"";"99";"Wind blowing from the west";"3";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.5";"8.2";"";"";"";"";"";"";
"26.01.2021 19:00";"7.0";"752.8";"757.3";"";"99";"Wind blowing from the east-southeast";"2";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"0.3";"6.8";"";"";"";"";"";"";
"26.01.2021 18:00";"7.0";"753.1";"757.6";"";"98";"Wind blowing from the east-southeast";"1";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"7.1";"";"";"300-600";"";"";"0.5";"6.7";"5.0";"12";"";"";"";"";
"26.01.2021 17:00";"7.0";"753.1";"757.6";"-1.1";"97";"Wind blowing from the south-east";"2";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"1.4";"6.6";"";"";"";"";"";"";
"26.01.2021 16:00";"7.0";"753.1";"757.6";"-1.6";"96";"Wind blowing from the south-east";"2";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"600-1000";"";"";"7.0";"6.4";"";"";"";"";"";"";
"26.01.2021 15:00";"6.8";"753.7";"758.2";"-2.1";"95";"Wind blowing from the south-southeast";"3";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"7.0";"6.1";"";"";"";"";"";"";
"26.01.2021 14:00";"6.6";"754.2";"758.7";"-1.9";"94";"Wind blowing from the south-southeast";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"5.0";"5.7";"";"";"";"";"";"";
"26.01.2021 13:00";"6.2";"754.7";"759.3";"-2.0";"96";"Wind blowing from the south-east";"4";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"9.0";"5.6";"";"";"";"";"";"";
"26.01.2021 12:00";"5.3";"755.8";"760.4";"-1.4";"97";"Wind blowing from the east-southeast";"3";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"1.9";"4.8";"2.0";"6";"";"";"";"";
"26.01.2021 11:00";"5.1";"756.1";"760.6";"-1.3";"93";"Wind blowing from the south-east";"4";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"19.0";"4.0";"";"";"";"";"";"";
"26.01.2021 10:00";"4.7";"756.7";"761.3";"";"93";"Wind blowing from the south-east";"3";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"600-1000";"";"";"17.0";"3.6";"";"";"";"";"";"";
"26.01.2021 09:00";"4.8";"757.2";"761.7";"-0.3";"88";"Wind blowing from the south-southeast";"4";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"2.9";"";"";"";"";"";"";
"26.01.2021 08:00";"3.4";"757.4";"762.0";"";"90";"Wind blowing from the east-southeast";"3";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"1.9";"";"";"";"";"";"";
"26.01.2021 07:00";"6.1";"757.4";"761.9";"";"71";"Wind blowing from the south-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1500-2000";"";"";"71.0";"1.1";"";"";"";"";"";"";
"26.01.2021 06:00";"5.1";"757.5";"762.0";"";"78";"Wind blowing from the south";"2";"";"";"";" ";"";"";"1.6";"";"";"";"2500 or more, or no clouds.";"";"";"71.0";"1.6";"0.6";"12";"";"";"";"";
"26.01.2021 05:00";"5.1";"757.9";"762.4";"-0.2";"79";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"71.0";"1.8";"";"";"";"";"";"";
"26.01.2021 04:00";"5.8";"757.9";"762.4";"";"75";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"2000-2500";"";"";"71.0";"1.6";"";"";"";"";"";"";
"26.01.2021 03:00";"5.7";"758.1";"762.7";"-0.1";"71";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"71.0";"0.7";"";"";"";"";"";"";
"26.01.2021 02:00";"5.0";"758.1";"762.7";"-0.1";"77";"Wind blowing from the west-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"71.0";"1.2";"";"";"";"";"";"";
"26.01.2021 01:00";"4.7";"758.0";"762.6";"0.0";"78";"Wind blowing from the west-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"55.0";"1.2";"";"";"";"";"";"";
"26.01.2021 00:00";"4.4";"758.2";"762.7";"0.3";"78";"Wind blowing from the west-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"70.0";"0.8";"0.6";"6";"";"";"";"";
"25.01.2021 23:00";"4.1";"758.2";"762.7";"0.5";"83";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"65.0";"1.5";"";"";"";"";"";"";
"25.01.2021 22:00";"3.6";"758.0";"762.6";"0.7";"88";"Wind blowing from the south-west";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"70.0";"1.8";"";"";"";"";"";"";
"25.01.2021 21:00";"2.3";"757.9";"762.4";"1.1";"87";"Wind blowing from the north-west";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"40.0";"0.4";"";"";"";"";"";"";
"25.01.2021 20:00";"1.8";"757.7";"762.3";"1.3";"86";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"50.0";"-0.4";"";"";"";"";"";"";
"25.01.2021 19:00";"2.2";"757.3";"761.8";"1.4";"82";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"-0.6";"";"";"";"";"";"";
"25.01.2021 18:00";"3.3";"756.8";"761.4";"0.9";"78";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"5.5";"";"";"2500 or more, or no clouds.";"";"";"60.0";"-0.3";"0.2";"12";"";"";"";"";
"25.01.2021 17:00";"3.9";"756.4";"761.0";"0.9";"75";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"-0.2";"";"";"";"";"";"";
"25.01.2021 16:00";"5.3";"755.9";"760.5";"0.7";"68";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"-0.1";"";"";"";"";"";"";
"25.01.2021 15:00";"5.1";"755.9";"760.4";"1.0";"68";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"71.0";"-0.4";"";"";"";"";"";"";
"25.01.2021 14:00";"5.1";"755.5";"760.0";"1.0";"72";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"0.5";"";"";"";"";"";"";
"25.01.2021 13:00";"5.2";"755.2";"759.7";"1.3";"73";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"0.7";"";"";"";"";"";"";
"25.01.2021 12:00";"4.4";"754.9";"759.4";"1.2";"76";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"0.4";"0.2";"6";"";"";"";"";
"25.01.2021 11:00";"3.1";"754.5";"759.1";"1.5";"86";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"1.0";"";"";"";"";"";"";
