# Weather station St. Athan (airport), UK, WMO_ID=3716,selection from 18.01.2021 till 29.01.2021, all days
"21.01.2021 17:00";"5.6";"734.1";"738.5";"";"80";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"2.4";"";"";"";"";"";"";
"21.01.2021 16:00";"6.2";"734.0";"738.4";"";"77";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"2.4";"";"";"";"";"";"";
"21.01.2021 15:00";"6.7";"734.2";"738.6";"";"76";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"50.0";"2.7";"";"";"";"";"";"";
"21.01.2021 14:00";"7.1";"734.5";"738.9";"";"79";"Wind blowing from the west-northwest";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"3.6";"";"";"";"";"";"";
"21.01.2021 13:00";"7.5";"734.8";"739.3";"";"77";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"3.6";"";"";"";"";"";"";
"21.01.2021 12:00";"7.1";"735.1";"739.5";"";"72";"Wind blowing from the west";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"65.0";"2.3";"2.0";"6";"";"";"";"";
"21.01.2021 11:00";"6.9";"735.1";"739.6";"";"79";"Wind blowing from the west";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"3.4";"";"";"";"";"";"";
"21.01.2021 10:00";"6.7";"735.1";"739.5";"";"74";"Wind blowing from the west";"8";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"35.0";"2.3";"";"";"";"";"";"";
"21.01.2021 09:00";"4.6";"735.0";"739.4";"";"90";"Wind blowing from the west-southwest";"12";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"14.0";"3.1";"";"";"";"";"";"";
"21.01.2021 08:00";"5.9";"734.5";"739.0";"";"80";"Wind blowing from the west-southwest";"12";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"29.0";"2.6";"";"";"";"";"";"";
"21.01.2021 07:00";"7.0";"734.2";"738.5";"";"80";"Wind blowing from the west-southwest";"11";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"22.0";"3.8";"";"";"";"";"";"";
"21.01.2021 06:00";"6.3";"733.9";"738.3";"";"85";"Wind blowing from the west-southwest";"11";"";"";"";"Rain (not freezing). ";"";"";"3.7";"";"";"";"300-600";"";"";"28.0";"3.9";"10.0";"12";"";"";"";"";
"21.01.2021 05:00";"5.8";"733.9";"738.4";"";"86";"Wind blowing from the west";"8";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"600-1000";"";"";"3.7";"3.6";"";"";"";"";"";"";
"21.01.2021 04:00";"5.4";"733.6";"738.0";"";"87";"Wind blowing from the west-southwest";"9";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"26.0";"3.4";"";"";"";"";"";"";
"21.01.2021 03:00";"6.0";"733.3";"737.7";"";"77";"Wind blowing from the west";"9";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"40.0";"2.2";"";"";"";"";"";"";
"21.01.2021 02:00";"6.0";"732.8";"737.2";"";"74";"Wind blowing from the west";"8";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"55.0";"1.7";"";"";"";"";"";"";
"21.01.2021 01:00";"5.1";"732.2";"736.6";"";"76";"Wind blowing from the west-northwest";"8";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"60.0";"1.2";"";"";"";"";"";"";
"21.01.2021 00:00";"4.8";"731.1";"735.5";"";"79";"Wind blowing from the west-northwest";"10";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"55.0";"1.4";"7.0";"6";"";"";"";"";
"20.01.2021 23:00";"4.0";"729.9";"734.3";"";"89";"Wind blowing from the west-northwest";"11";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"15.0";"2.4";"";"";"";"";"";"";
"20.01.2021 22:00";"4.2";"728.5";"732.9";"";"93";"Wind blowing from the west";"10";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"200-300";"";"";"9.0";"3.1";"";"";"";"";"";"";
"20.01.2021 21:00";"4.4";"727.8";"732.2";"";"92";"Wind blowing from the west-northwest";"9";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"14.0";"3.2";"";"";"";"";"";"";
"20.01.2021 20:00";"7.1";"726.4";"730.8";"";"94";"Wind blowing from the west";"8";"";"";"";"Rain (or drizzle) and snow, slight. ";"";"";"";"";"";"";"100-200";"";"";"10.0";"6.2";"";"";"";"";"";"";
"20.01.2021 19:00";"9.3";"726.7";"731.0";"-3.2";"96";"Wind blowing from the south";"5";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"300-600";"";"";"12.0";"8.7";"";"";"";"";"";"";
"20.01.2021 18:00";"10.3";"728.2";"732.4";"-2.4";"89";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"11.6";"";"";"300-600";"";"";"30.0";"8.5";"1.0";"12";"";"";"";"";
"20.01.2021 17:00";"10.7";"729.0";"733.3";"-2.3";"86";"Wind blowing from the south-southwest";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"35.0";"8.5";"";"";"";"";"";"";
"20.01.2021 16:00";"10.7";"729.9";"734.2";"-2.2";"89";"Wind blowing from the south-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"45.0";"8.9";"";"";"";"";"";"";
"20.01.2021 15:00";"11.2";"730.6";"734.9";"-2.3";"86";"Wind blowing from the south-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"71.0";"9.0";"";"";"";"";"";"";
"20.01.2021 14:00";"11.2";"731.3";"735.6";"-2.5";"87";"Wind blowing from the south-southwest";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"50.0";"9.1";"";"";"";"";"";"";
"20.01.2021 13:00";"11.5";"732.1";"736.4";"-2.4";"84";"Wind blowing from the south-southwest";"8";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"65.0";"8.9";"";"";"";"";"";"";
"20.01.2021 12:00";"10.8";"732.9";"737.2";"-2.2";"89";"Wind blowing from the south-southwest";"7";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"30.0";"9.1";"1.0";"6";"";"";"";"";
"20.01.2021 11:00";"10.6";"733.8";"738.1";"-1.6";"89";"Wind blowing from the south-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"45.0";"8.9";"";"";"";"";"";"";
"20.01.2021 10:00";"10.4";"734.5";"738.9";"-1.5";"92";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"65.0";"9.1";"";"";"";"";"";"";
"20.01.2021 09:00";"10.9";"735.1";"739.3";"-1.5";"91";"Wind blowing from the south-southwest";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"45.0";"9.4";"";"";"";"";"";"";
"20.01.2021 08:00";"10.3";"735.4";"739.8";"-1.8";"92";"Wind blowing from the south-southwest";"5";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"5.0";"9.1";"";"";"";"";"";"";
"20.01.2021 07:00";"10.7";"736.0";"740.3";"-1.7";"91";"Wind blowing from the south-southwest";"5";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"300-600";"";"";"14.0";"9.2";"";"";"";"";"";"";
"20.01.2021 06:00";"10.8";"736.6";"741.0";"-1.8";"92";"Wind blowing from the south-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"9.8";"";"";"";"300-600";"";"";"60.0";"9.5";"14.0";"12";"";"";"";"";
"20.01.2021 05:00";"10.5";"737.2";"741.6";"-1.7";"95";"Wind blowing from the south-west";"6";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"55.0";"9.7";"";"";"";"";"";"";
"20.01.2021 04:00";"10.4";"737.7";"742.0";"-1.8";"99";"Wind blowing from the south-southwest";"4";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"12.0";"10.2";"";"";"";"";"";"";
"20.01.2021 03:00";"10.1";"738.4";"742.8";"-1.7";"95";"Wind blowing from the south-west";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"12.0";"9.3";"";"";"";"";"";"";
"20.01.2021 02:00";"10.1";"738.9";"743.2";"-1.5";"98";"Wind blowing from the south-west";"5";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"3.2";"9.8";"";"";"";"";"";"";
"20.01.2021 01:00";"10.3";"739.5";"743.8";"-1.7";"98";"Wind blowing from the south-west";"5";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"7.0";"10.0";"";"";"";"";"";"";
"20.01.2021 00:00";"10.7";"740.1";"744.4";"-1.6";"95";"Wind blowing from the south-west";"7";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"300-600";"";"";"1.6";"9.9";"7.0";"6";"";"";"";"";
"19.01.2021 23:00";"10.4";"740.4";"744.8";"-1.9";"95";"Wind blowing from the south-west";"5";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"19.0";"9.7";"";"";"";"";"";"";
"19.01.2021 22:00";"10.3";"741.2";"745.6";"-1.7";"95";"Wind blowing from the south-west";"5";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"7.0";"9.5";"";"";"";"";"";"";
"19.01.2021 21:00";"10.5";"741.7";"746.1";"-2.1";"92";"Wind blowing from the south-west";"6";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"600-1000";"";"";"7.0";"9.2";"";"";"";"";"";"";
"19.01.2021 20:00";"10.6";"742.3";"746.7";"-2.1";"90";"Wind blowing from the south-west";"8";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"65.0";"9.0";"";"";"";"";"";"";
"19.01.2021 19:00";"10.6";"742.9";"747.4";"-2.1";"89";"Wind blowing from the south-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"71.0";"8.9";"";"";"";"";"";"";
"19.01.2021 18:00";"10.0";"743.8";"748.1";"-1.8";"91";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"10.3";"";"";"300-600";"";"";"70.0";"8.5";"2.0";"12";"";"";"";"";
"19.01.2021 17:00";"10.1";"744.4";"748.9";"-2.1";"89";"Wind blowing from the south-west";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"65.0";"8.4";"";"";"";"";"";"";
"19.01.2021 16:00";"9.7";"745.0";"749.5";"-2.8";"92";"Wind blowing from the south-west";"7";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"21.0";"8.5";"";"";"";"";"";"";
"19.01.2021 15:00";"9.7";"745.6";"749.9";"-3.2";"91";"Wind blowing from the south-southwest";"7";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"300-600";"";"";"12.0";"8.3";"";"";"";"";"";"";
"19.01.2021 14:00";"9.9";"746.5";"750.9";"-3.0";"89";"Wind blowing from the south-west";"7";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"27.0";"8.1";"";"";"";"";"";"";
"19.01.2021 13:00";"9.8";"747.8";"752.2";"-2.3";"89";"Wind blowing from the south-west";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"55.0";"8.1";"";"";"";"";"";"";
"19.01.2021 12:00";"9.7";"748.8";"753.2";"-1.5";"89";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"60.0";"7.9";"1.0";"6";"";"";"";"";
"19.01.2021 11:00";"9.5";"749.5";"754.0";"-0.9";"89";"Wind blowing from the west-southwest";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"40.0";"7.7";"";"";"";"";"";"";
"19.01.2021 10:00";"9.3";"750.1";"754.6";"-0.6";"91";"Wind blowing from the west-southwest";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"19.0";"7.9";"";"";"";"";"";"";
"19.01.2021 09:00";"9.2";"750.3";"754.8";"-0.4";"97";"Wind blowing from the west";"11";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"200-300";"";"";"11.0";"8.7";"";"";"";"";"";"";
"19.01.2021 08:00";"9.4";"750.4";"754.9";"-0.4";"99";"Wind blowing from the west-southwest";"10";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"50-100";"";"";"6.0";"9.3";"";"";"";"";"";"";
"19.01.2021 07:00";"9.3";"750.7";"755.2";"-0.1";"99";"Wind blowing from the west";"10";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"2.9";"9.2";"";"";"";"";"";"";
"19.01.2021 06:00";"9.6";"750.7";"755.2";"-0.3";"99";"Wind blowing from the west";"12";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"8.0";"";"";"";"50-100";"";"";"2.5";"9.4";"5.0";"12";"";"";"";"";
"19.01.2021 05:00";"9.7";"750.8";"755.2";"-0.3";"99";"Wind blowing from the west-southwest";"10";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"9.0";"9.5";"";"";"";"";"";"";
"19.01.2021 04:00";"9.7";"750.8";"755.2";"-0.7";"99";"Wind blowing from the west-southwest";"12";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"2.8";"9.6";"";"";"";"";"";"";
"19.01.2021 03:00";"9.7";"751.0";"755.5";"-1.3";"99";"Wind blowing from the west";"11";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"2.7";"9.5";"";"";"";"";"";"";
"19.01.2021 02:00";"9.9";"751.1";"755.5";"-1.9";"98";"Wind blowing from the west-southwest";"10";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"9.6";"";"";"";"";"";"";
"19.01.2021 01:00";"9.8";"751.5";"755.9";"-2.5";"99";"Wind blowing from the west-southwest";"9";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"100-200";"";"";"4.6";"9.6";"";"";"";"";"";"";
"19.01.2021 00:00";"10.7";"";"";"";"95";"Wind blowing from the south-west";"7";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"300-600";"";"";"1.6";"9.9";"7.0";"6";"";"";"";"";
"18.01.2021 23:00";"9.8";"753.0";"757.4";"-2.6";"95";"Wind blowing from the west-southwest";"5";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"60.0";"9.0";"";"";"";"";"";"";
"18.01.2021 22:00";"9.2";"754.0";"758.5";"-2.4";"96";"Wind blowing from the west-southwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"30.0";"8.6";"";"";"";"";"";"";
"18.01.2021 21:00";"9.7";"754.8";"759.2";"-2.3";"92";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"60.0";"8.4";"";"";"";"";"";"";
"18.01.2021 20:00";"9.2";"755.6";"760.0";"-2.2";"94";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"71.0";"8.2";"";"";"";"";"";"";
"18.01.2021 19:00";"8.3";"756.4";"760.9";"-2.2";"93";"Wind blowing from the south";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"71.0";"7.3";"";"";"";"";"";"";
"18.01.2021 18:00";"8.0";"757.1";"761.6";"-2.1";"94";"Wind blowing from the south";"3";"";"";"";"Drizzle, not freezing, heavy. ";"";"";"";"8.1";"";"";"300-600";"";"";"40.0";"7.1";"1.0";"12";"";"";"";"";
"18.01.2021 17:00";"7.2";"757.8";"762.3";"-2.2";"97";"Wind blowing from the south-east";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"65.0";"6.7";"";"";"";"";"";"";
"18.01.2021 16:00";"7.3";"758.6";"763.2";"-2.3";"95";"Wind blowing from the south-southeast";"2";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"20.0";"6.6";"";"";"";"";"";"";
"18.01.2021 15:00";"7.7";"759.2";"763.7";"-2.7";"92";"Wind blowing from the south";"1";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"20.0";"6.4";"";"";"";"";"";"";
"18.01.2021 14:00";"7.9";"760.0";"764.5";"-2.4";"87";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"50.0";"5.9";"";"";"";"";"";"";
"18.01.2021 13:00";"7.5";"760.9";"765.5";"-1.8";"89";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"35.0";"5.8";"";"";"";"";"";"";
"18.01.2021 12:00";"7.2";"761.9";"766.4";"-0.9";"86";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"50.0";"5.0";"Trace of precipitation";"6";"";"";"";"";
"18.01.2021 11:00";"7.2";"762.4";"767.0";"-0.6";"87";"Wind blowing from the south-west";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"5.1";"";"";"";"";"";"";
"18.01.2021 10:00";"6.1";"762.7";"767.2";"-0.3";"90";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"4.6";"";"";"";"";"";"";
"18.01.2021 09:00";"5.7";"762.8";"767.4";"-0.5";"88";"Wind blowing from the west-northwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"45.0";"3.9";"";"";"";"";"";"";
"18.01.2021 08:00";"6.0";"763.0";"767.5";"-0.5";"91";"Wind blowing from the west";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"40.0";"4.7";"";"";"";"";"";"";
"18.01.2021 07:00";"5.2";"763.0";"767.6";"-0.8";"90";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"60.0";"3.6";"";"";"";"";"";"";
"18.01.2021 06:00";"5.9";"763.3";"767.8";"-0.7";"92";"Wind blowing from the west";"5";"";"";"";"Rain (not freezing). ";"";"";"5.8";"";"";"";"600-1000";"";"";"55.0";"4.7";"2.0";"12";"";"";"";"";
"18.01.2021 05:00";"6.0";"763.5";"768.1";"-0.9";"91";"Wind blowing from the west";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"45.0";"4.6";"";"";"";"";"";"";
"18.01.2021 04:00";"6.2";"763.8";"768.4";"-1.3";"94";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"29.0";"5.3";"";"";"";"";"";"";
"18.01.2021 03:00";"6.1";"764.0";"768.6";"-1.4";"90";"Wind blowing from the west";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"60.0";"4.5";"";"";"";"";"";"";
"18.01.2021 02:00";"5.8";"764.4";"769.0";"-1.2";"93";"Wind blowing from the west-southwest";"5";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"35.0";"4.7";"";"";"";"";"";"";
"18.01.2021 01:00";"6.1";"765.1";"769.7";"-0.6";"93";"Wind blowing from the west";"4";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"30.0";"5.0";"";"";"";"";"";"";
"18.01.2021 00:00";"6.2";"765.4";"769.9";"-0.8";"88";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"26.0";"4.4";"No precipitation";"6";"";"";"";"";
